huntCode,unitDescription,bag,nLicenses,1st,2nd,3rd,T,r1st,r2nd,r3rd,rTot,huntOdds
ANT-1-101,"Units 2, 7, 9, 10: youth only",ES,3,91,13,29,133,91,13,29,133,1.8947368421052633
ANT-1-102,"Units 2, 7, 9, 10",MB,5,368,169,136,673,364,166,133,663,0.6334841628959276
ANT-1-104,Unit 12: youth only,ES,3,36,34,12,82,36,34,11,81,3.111111111111111
ANT-1-105,Unit 12,MB,10,259,207,157,623,233,189,123,545,1.5412844036697249
ANT-1-106,Unit 12: mobility impaired only,MB,10,30,13,14,57,29,9,12,50,16.8
ANT-1-107,Unit 12,MB,10,105,168,144,417,96,153,133,382,2.1989528795811517
ANT-1-109,Unit 13: youth only,ES,2,71,53,72,196,71,52,72,195,0.8615384615384615
ANT-1-110,Unit 13,MB,10,555,421,413,1389,479,373,360,1212,0.6930693069306931
ANT-1-111,Unit 13: mobility impaired only,MB,10,51,34,22,107,40,29,20,89,9.438202247191011
ANT-1-112,Unit 13,MB,5,143,206,179,528,138,202,175,515,0.8155339805825242
ANT-1-114,Unit 15: youth only,ES,5,122,110,75,307,120,110,74,304,1.3815789473684212
ANT-1-115,Unit 15,MB,10,710,475,411,1596,564,394,358,1316,0.6382978723404256
ANT-1-117,Unit 15: mobility impaired only,MB,3,18,29,14,61,18,29,14,61,4.131147540983607
ANT-1-118,Unit 15,MB,10,186,407,278,871,166,362,233,761,1.1038107752956636
ANT-1-120,Unit 16: youth only,ES,5,195,142,88,425,190,142,88,420,1.0
ANT-1-121,Unit 16,MB,15,1950,980,556,3486,900,572,397,1869,0.6741573033707865
ANT-1-123,Unit 16: mobility impaired only,MB,3,39,32,22,93,39,31,22,92,2.7391304347826084
ANT-1-124,Unit 16,MB,25,718,1183,491,2392,396,521,340,1257,1.6706443914081146
ANT-1-126,Unit 17: youth only,ES,5,179,141,113,433,178,140,112,430,0.9767441860465118
ANT-1-127,Unit 17,MB,5,561,408,400,1369,556,397,390,1343,0.3127326880119137
ANT-1-128,Unit 17,MB,5,165,352,212,729,163,345,211,719,0.5841446453407511
ANT-1-129,Unit 17: mobility impaired only,MB,3,33,31,21,85,32,31,21,84,3.0
ANT-1-130,Unit 17,MB,10,248,270,408,926,205,231,357,793,1.0592686002522067
ANT-1-132,Unit 18,MB,15,996,685,742,2423,560,350,336,1246,1.0112359550561798
